,COUNTRY,# measures
163,Sri Lanka,107
136,Philippines,76
75,Hungary,67
104,Malaysia,65
7,Australia,60
171,Thailand,60
13,Barbados,55
47,Denmark,54
122,New Zealand,54
54,Equatorial Guinea,52
138,Portugal,52
0,Afghanistan,49
3,Angola,49
45,Czech Republic,48
184,United States of America,47
83,Italy,44
8,Austria,43
100,Lithuania,42
85,Japan,42
81,Ireland,41
167,Switzerland,39
82,Israel,39
117,Mozambique,39
127,Norway,39
77,India,38
162,Spain,38
26,Burma,37
101,Luxembourg,36
35,China,35
118,Namibia,35
31,Canada,35
149,Saudi Arabia,35
174,Tonga,34
156,Slovenia,34
60,Finland,34
155,Slovak Republic,34
137,Poland,33
88,Kenya,33
65,Germany,33
56,Estonia,33
86,Jordan,33
146,Samoa,32
59,Fiji,32
61,France,31
120,Nepal,31
132,Panama,31
133,Papua New Guinea,31
57,Eswatini,31
74,Honduras,31
152,Seychelles,31
144,Saint Lucia,30
10,Bahamas,30
102,Madagascar,29
107,Malta,29
20,Bosnia and Herzegovina,29
181,Ukraine,29
80,Iraq,28
78,Indonesia,28
103,Malawi,27
66,Ghana,27
94,Latvia,27
5,Argentina,26
44,Cyprus,26
34,Chile,26
58,Ethiopia,26
67,Greece,25
187,Vanuatu,25
6,Armenia,25
157,Solomon Islands,25
21,Botswana,25
183,United Kingdom,24
53,El Salvador,24
16,Belize,23
98,Libya,23
62,Gabon,23
110,Mauritius,23
114,Mongolia,22
37,Colombia,22
190,Yemen,22
1,Albania,22
180,Uganda,22
64,Georgia,21
159,South Africa,21
177,Turkey,21
109,Mauritania,21
55,Eritrea,21
28,Cabo Verde,21
128,Oman,21
19,Bolivia,21
24,Bulgaria,20
108,Marshall Islands,20
71,Guinea-Bissau,20
97,Liberia,20
95,Lebanon,20
79,Iran,20
91,Kuwait,20
130,Palau,20
142,Rwanda,20
191,Zambia,20
51,Ecuador,20
119,Nauru,19
105,Maldives,19
166,Sweden,19
131,Palestine,19
30,Cameroon,19
36,"China, Hong Kong Special Administrative Region",19
68,Grenada,19
69,Guatemala,19
23,Brunei,19
49,Dominica,18
42,Croatia,18
50,Dominican Republic,18
2,Algeria,18
9,Azerbaijan,18
115,Montenegro,18
99,Liechtenstein,18
160,South Korea,18
141,Russia,18
135,Peru,17
124,Niger,17
32,Central African Republic,17
70,Guinea,17
182,United Arab Emirates,17
121,Netherlands,16
134,Paraguay,16
22,Brazil,16
140,Romania,16
43,Cuba,16
46,Côte d'Ivoire,16
76,Iceland,16
52,Egypt,16
41,Costa Rica,15
145,Saint Vincent and the Grenadines,15
151,Serbia,15
185,Uruguay,15
188,Venezuela,15
126,North Macedonia,15
15,Belgium,15
168,Syria,14
173,Togo,14
153,Sierra Leone,14
125,Nigeria,14
25,Burkina Faso,14
39,Congo (Brazzaville),14
129,Pakistan,14
113,Moldova,14
17,Benin,13
112,Micronesia,13
63,Gambia,13
178,Turkmenistan,13
11,Bahrain,13
92,Kyrgyz Republic,13
106,Mali,13
40,Congo (Kinshasa),12
164,Sudan,12
165,Suriname,11
96,Lesotho,11
192,Zimbabwe,11
139,Qatar,11
14,Belarus,11
33,Chad,11
111,Mexico,11
38,Comoros,11
170,Tanzania,10
147,San Marino,10
158,Somalia,10
87,Kazakhstan,10
73,Haiti,9
27,Burundi,9
89,Kiribati,9
169,Tajikistan,8
4,Antigua and Barbuda,8
161,South Sudan,8
176,Tunisia,8
84,Jamaica,8
116,Morocco,7
179,Tuvalu,7
93,Laos,6
123,Nicaragua,6
189,Vietnam,5
90,Korea DPR,4
150,Senegal,4
29,Cambodia,3
12,Bangladesh,3
48,Djibouti,3
143,Saint Kitts and Nevis,3
186,Uzbekistan,3
154,Singapore,2
18,Bhutan,2
72,Guyana,2
172,Timor-Leste,2
148,Sao Tome and Principe,1
175,Trinidad and Tobago,1
